Date,Close/Last,Volume,Open,High,Low,capital,BUY_MIN,BUY_MAX,SELL_MIN,SELL_MAX,TRANSACTION_FEE,TRANSACTION_SESSION,TRANSACTION_PENALTY,TOTAL_ASSETS,WIN_THRESHOLD
02/09/2024,$658.16,1005195,$657.53,$662.83,$654.69,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/22/2020,$290.52,2611185,$286.13,$291.49,$285.88,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/08/2021,$374.46,1259108,$369.79,$375.03,$368.5952,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/03/2015,$96.38,2879563,$99.46,$99.91,$95.94,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/25/2025,$555.63,3014541,$567.31,$571.42,$553.24,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/16/2020,$223.43,2642653,$232.00,$244.99,$222.38,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/27/2018,$198.22,1276370,$202.43,$203.97,$198.03,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/29/2019,$208.33,995098,$211.21,$211.865,$207.69,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/17/2015,$95.58,1550777,$96.51,$96.71,$95.33,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/25/2021,$374.43,1588202,$378.04,$378.84,$364.31,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/05/2015,$91.31,1525513,$90.00,$91.50,$89.46,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/15/2019,$233.32,1141014,$233.34,$233.7289,$231.31,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/13/2019,$261.75,1340649,$259.78,$262.93,$259.00,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/06/2024,$634.64,802889,$632.27,$635.00,$627.5801,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/22/2022,$446.12,1692793,$456.73,$457.45,$445.01,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/01/2020,$289.95,1283840,$289.11,$291.72,$288.075,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/04/2024,$586.82,956779,$590.61,$594.51,$585.81,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/05/2018,$170.18,1301835,$167.59,$171.41,$167.00,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/11/2022,$478.77,1259571,$486.36,$489.27,$475.52,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/16/2016,$112.47,1040354,$113.03,$113.03,$112.41,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/02/2015,$89.50,1778416,$87.23,$89.55,$85.61,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/27/2016,$107.31,1245160,$108.37,$108.50,$107.22,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/21/2017,$140.25,1265117,$140.78,$141.52,$139.98,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/28/2020,$266.31,1000036,$273.34,$276.98,$265.78,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/27/2022,$517.22,2486193,$516.4146,$525.995,$513.2901,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/26/2016,$106.83,2658990,$105.00,$107.74,$104.88,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/30/2015,$98.28,660939,$99.11,$99.41,$98.22,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/09/2017,$126.73,1096983,$126.22,$127.08,$125.905,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/03/2020,$363.70,1841131,$355.19,$366.68,$353.47,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/28/2022,$409.29,1710594,$404.06,$412.00,$398.81,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/20/2016,$114.79,1555125,$112.78,$115.29,$112.72,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/13/2024,$594.62,2132221,$594.53,$600.41,$586.03,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/11/2024,$629.41,1235127,$638.59,$643.17,$627.22,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/08/2017,$125.60,1469691,$125.05,$125.65,$124.85,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/26/2022,$424.39,1355356,$425.61,$437.13,$420.09,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/13/2018,$171.99,623362,$174.66,$174.66,$171.11,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/03/2017,$131.68,759267,$133.82,$133.83,$131.64,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/14/2020,$365.51,1365982,$364.44,$369.305,$363.6054,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/16/2024,$646.25,939837,$655.24,$656.01,$643.43,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/09/2023,$514.54,1384191,$518.64,$527.2668,$513.97,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/29/2018,$196.70,1846957,$195.67,$198.35,$194.82,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/11/2021,$606.87,684294,$607.25,$610.595,$605.91,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/03/2016,$109.83,1280033,$108.89,$109.86,$108.85,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/28/2023,$628.02,680662,$630.74,$631.07,$627.18,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
